,time,high,low,open,volume,volumeto,close,conversionType,conversionSymbol,Date,Sentiment,BMSB,SMA,RSI
83,1486080000,1023.72,989.21,1003.97,61671.88,62431017.97,1013.02,direct,,2017-02-03,0.3024171,0.0,910.8819047619046,68.8547926813368
84,1486166400,1041.04,1000.41,1013.02,39461.62,40406542.54,1031.85,direct,,2017-02-04,0.2806007,0.0,920.9876190476191,71.09643679162085
85,1486252800,1033.66,1004.05,1031.85,31058.49,31669956.98,1016.11,direct,,2017-02-05,0.3069455,0.0,930.2704761904762,66.77032236731026
86,1486339200,1030.6,1010.83,1016.11,32019.82,32828350.27,1024.67,direct,,2017-02-06,0.2800145,0.0,939.6671428571428,67.91378601521549
87,1486425600,1054.1,1019.87,1024.67,39553.25,41318349.43,1049.56,direct,,2017-02-07,0.1984945,0.0,946.8052380952381,71.03488347084043
88,1486512000,1069.23,1020.33,1049.56,65145.12,68336320.22,1055.49,direct,,2017-02-08,0.1342343,0.0,955.5414285714285,71.74018155104342
89,1486598400,1073.03,924.65,1055.49,146746.26,145839317.48,978.96,direct,,2017-02-09,0.1681909,0.0,959.5295238095239,53.600552822551904
90,1486684800,1005.6,947.02,978.96,62132.99,60639111.4,997.61,direct,,2017-02-10,0.196458,0.0,964.5152380952383,56.48795465095849
91,1486771200,1014.32,983.93,997.61,28319.39,28504495.1,1008.32,direct,,2017-02-11,0.235748,0.0,968.7285714285715,58.100452241746794
92,1486857600,1007.82,992.45,1008.32,14750.39,14825023.07,996.52,direct,,2017-02-12,0.1868714,0.0,972.4276190476191,55.65331765698544
93,1486944000,1007.61,975.1,996.52,32908.63,32785064.4,995.36,direct,,2017-02-13,0.2511834,0.0,975.9466666666665,55.40626026926915
94,1487030400,1013.8,986.46,995.36,39537.9,39810076.3,1008.34,direct,,2017-02-14,0.2507002,0.0,981.4033333333332,57.67064304942804
95,1487116800,1010.93,999.73,1008.34,23359.15,23569549.45,1008.19,direct,,2017-02-15,0.2045119,0.0,986.8214285714286,57.63422156599193
96,1487203200,1040.28,1007.39,1008.19,38080.21,39114743.32,1031.93,direct,,2017-02-16,0.140664,0.0,992.3628571428573,61.751338630433914
97,1487289600,1057.39,1025.87,1031.93,45711.79,47815360.54,1049.41,direct,,2017-02-17,0.09078044,0.0,998.62,64.48786832153152
98,1487376000,1063.21,1044.68,1049.41,25362.02,26856521.18,1052.28,direct,,2017-02-18,0.07209255,0.0,1004.99,64.93150374828325
99,1487462400,1056.48,1037.67,1052.28,17953.15,18876881.86,1048.89,direct,,2017-02-19,0.0302353,0.0,1011.3871428571429,63.91581580161279
100,1487548800,1081.78,1040.99,1048.89,31010.85,32959720.15,1077.56,direct,,2017-02-20,0.005540282,0.0,1018.8552380952382,68.41558604084622
101,1487635200,1123.03,1073.54,1077.56,57048.87,62908569.43,1119.03,direct,,2017-02-21,0.03037546,0.0,1026.1666666666667,73.5529636233889
102,1487721600,1132.25,1094.83,1119.03,47913.31,53647453.34,1120.46,direct,,2017-02-22,0.07574366,0.0,1032.7395238095237,73.71175137606687
103,1487808000,1181.6,1113.54,1120.46,65737.1,75663167.44,1171.91,direct,,2017-02-23,0.1929324,0.0,1040.7366666666665,78.67311855526548
104,1487894400,1211.74,1092.41,1171.91,108170.88,126978010.75,1176.49,direct,,2017-02-24,0.1673795,0.0,1048.5209523809524,79.05212318015205
105,1487980800,1180.01,1116.21,1176.49,45860.52,53003830.46,1149.05,direct,,2017-02-25,0.1660923,0.0,1054.1019047619047,70.92024784843947
106,1488067200,1177.47,1130.61,1149.05,30764.77,35750258.05,1171.58,direct,,2017-02-26,0.2680096,0.0,1061.5052380952382,73.34474553563687
107,1488153600,1195.82,1164.27,1171.58,35468.84,42035366.64,1188.83,direct,,2017-02-27,0.2900655,0.0,1069.322380952381,75.0593037589224
108,1488240000,1208.22,1175.75,1188.83,50579.83,60371869.57,1189.27,direct,,2017-02-28,0.3145732,0.0,1075.9752380952382,75.10329432497184
109,1488326400,1225.04,1154.55,1189.27,51153.83,61964760.57,1222.66,direct,,2017-03-01,0.2381151,0.0,1083.9357142857143,78.23990231161049
110,1488412800,1286.98,1211.96,1222.66,78492.01,98040639.32,1255.47,direct,,2017-03-02,0.1953037,0.0,1097.1028571428571,80.79967516865582
111,1488499200,1291.35,1250.8,1255.47,67275.49,85876262.86,1283.3,direct,,2017-03-03,0.1103894,0.0,1110.7071428571428,82.66268089959391
112,1488585600,1285.78,1228.73,1283.3,38418.2,48597934.9,1264.32,direct,,2017-03-04,0.09248269,0.0,1122.897619047619,77.16365115501186
113,1488672000,1273.28,1242.1,1264.32,25430.23,32104972.38,1271.22,direct,,2017-03-05,0.06626087,0.0,1135.9785714285715,77.74331293779942
114,1488758400,1280.61,1261.0,1271.22,31026.9,39591110.81,1277.01,direct,,2017-03-06,0.0555572,0.0,1149.3904761904762,78.24239644144208
115,1488844800,1280.89,1148.66,1277.01,87722.01,108673876.49,1232.69,direct,,2017-03-07,0.03378559,0.0,1160.0738095238096,66.03571877855673
116,1488931200,1242.04,1136.88,1232.69,97875.25,116342973.91,1146.97,direct,,2017-03-08,0.05277477,0.0,1166.6823809523808,49.83999343336497
117,1489017600,1206.97,1129.35,1146.97,59860.55,70427061.57,1191.33,direct,,2017-03-09,0.1125119,0.0,1174.2728571428572,55.87160889613698
118,1489104000,1330.42,988.69,1191.33,190472.52,223836041.81,1112.39,direct,,2017-03-10,0.2409978,0.0,1177.2719047619048,45.407663111183524
119,1489190400,1202.69,1104.78,1112.39,70747.22,82387198.06,1179.22,direct,,2017-03-11,0.3384407,0.0,1183.3166666666668,53.36981509486891
120,1489276800,1235.46,1160.9,1179.22,44412.09,53441762.07,1225.11,direct,,2017-03-12,0.3709015,0.0,1191.7080952380952,57.90939086123538
121,1489363200,1245.63,1205.61,1225.11,60460.94,74376298.14,1238.19,direct,,2017-03-13,0.4036685,0.0,1199.357142857143,59.130683871918805
122,1489449600,1255.52,1218.38,1238.19,45142.05,56058617.23,1243.14,direct,,2017-03-14,0.3888512,0.0,1205.267142857143,59.608332551103665
123,1489536000,1256.95,1236.43,1243.14,43592.4,54486699.63,1253.43,direct,,2017-03-15,0.3011966,0.0,1211.5990476190477,60.63819928002357
124,1489622400,1260.24,1118.96,1253.43,132773.3,159409024.53,1172.88,direct,,2017-03-16,0.1856797,0.0,1211.6452380952383,49.91030829278708
125,1489708800,1174.9,1063.48,1172.88,163739.0,183879768.71,1071.71,direct,,2017-03-17,0.1831558,0.0,1206.6557142857143,40.273050594382646
126,1489795200,1103.61,940.18,1071.71,210424.36,212772055.65,971.38,direct,,2017-03-18,0.2199483,0.0,1198.1952380952382,33.38786549131413
127,1489881600,1063.67,967.31,971.38,106444.72,108128237.76,1022.6,direct,,2017-03-19,0.3543663,0.0,1191.1009523809523,39.11099309121381
128,1489968000,1057.5,1005.05,1022.6,61431.4,63833143.48,1047.51,direct,,2017-03-20,0.494995,0.0,1184.3714285714286,41.732929179440184
129,1490054400,1125.53,1043.87,1047.51,92591.27,101051998.73,1121.29,direct,,2017-03-21,0.5228943,0.0,1181.1342857142856,48.76950496592489
130,1490140800,1121.88,997.78,1121.29,115286.08,120730492.05,1044.72,direct,,2017-03-22,0.541353,0.0,1172.6609523809525,42.969796539356146
131,1490227200,1062.79,1022.02,1044.72,56517.89,58898141.13,1035.03,direct,,2017-03-23,0.4045125,0.0,1162.1638095238095,42.28448402573304
132,1490313600,1038.38,927.35,1035.03,132599.72,130042865.54,939.7,direct,,2017-03-24,0.2213297,0.0,1145.8019047619048,36.17235337591109
133,1490400000,995.96,890.43,939.7,127044.59,118395054.45,966.3,direct,,2017-03-25,0.157477,0.0,1131.6104761904762,38.829352422338644
134,1490486400,1004.32,946.65,966.3,85332.41,83255983.42,969.44,direct,,2017-03-26,0.0667483,0.0,1117.24,39.15136003355771
135,1490572800,1048.85,961.8,969.44,91256.43,92332221.14,1045.14,direct,,2017-03-27,0.08293113,0.0,1106.1985714285715,46.46764070760967
136,1490659200,1068.41,1015.45,1045.14,80000.9,83567551.46,1044.42,direct,,2017-03-28,0.1269155,0.0,1097.2333333333331,46.41048272813108
137,1490745600,1058.66,1008.34,1044.42,68852.51,71261535.48,1041.9,direct,,2017-03-29,0.1802222,0.0,1092.23,46.196299155572014
138,1490832000,1052.66,1020.93,1041.9,74984.88,77633883.53,1037.91,direct,,2017-03-30,0.1822513,0.0,1084.9242857142858,45.835612438043675
139,1490918400,1088.2,1035.18,1037.91,90987.94,96543920.02,1079.11,direct,,2017-03-31,0.1106821,0.0,1083.3395238095238,50.1626155715606
140,1491004800,1103.74,1067.47,1079.11,50658.36,55020078.21,1086.12,direct,,2017-04-01,0.0980153,0.0,1078.9061904761904,50.881605849323485
141,1491091200,1109.48,1074.21,1086.12,70980.71,77853933.84,1097.4,direct,,2017-04-02,0.1144203,0.0,1072.824761904762,52.07962497009535
142,1491177600,1157.87,1095.55,1097.4,98499.3,111870807.42,1147.56,direct,,2017-04-03,0.1734416,0.0,1068.5090476190476,57.09145660675389
143,1491264000,1161.19,1122.15,1147.56,70998.95,81164094.44,1141.77,direct,,2017-04-04,0.1279784,0.0,1063.6819047619047,56.35872796736331
144,1491350400,1143.84,1110.06,1141.77,69469.37,78335573.66,1129.87,direct,,2017-04-05,0.1411402,0.0,1057.7980952380951,54.8019693109113
145,1491436800,1201.55,1130.51,1129.87,92357.58,108182158.18,1188.7,direct,,2017-04-06,0.2120019,0.0,1058.5514285714285,60.596653653255785
146,1491523200,1201.23,1173.18,1188.7,59746.57,71184485.98,1190.49,direct,,2017-04-07,0.2553654,0.0,1064.2076190476191,60.76149327449715
147,1491609600,1198.22,1166.65,1190.49,33180.63,39393003.33,1180.78,direct,,2017-04-08,0.2053195,0.0,1074.1790476190477,59.31198127218563
148,1491696000,1215.1,1173.99,1180.78,45351.08,54498333.26,1204.34,direct,,2017-04-09,0.0814759,0.0,1082.8333333333333,61.699457429096825
149,1491782400,1214.87,1194.81,1204.34,40013.05,48473680.7,1206.71,direct,,2017-04-10,0.07962432,0.0,1090.4142857142856,61.941383814582416
150,1491868800,1229.57,1195.76,1206.71,37394.78,45563707.07,1220.74,direct,,2017-04-11,0.09375166,0.0,1095.15,63.41464449589758
