,time,high,low,open,volume,volumeto,close,conversionType,conversionSymbol,Date,Sentiment,BMSB,SMA,RSI,OBV
29,1454112000,381.75,375.04,380.29,36179.6,13720656.84,377.76,direct,,2016-01-30,0.382010167,0.0,400.8285714285714,38.168008520582426,-417137.3099999997
30,1454198400,380.54,366.88,377.76,39019.71,14718855.75,369.84,direct,,2016-01-31,0.292556997,0.0,397.1928571428571,35.56902806697923,-456157.0199999997
31,1454284800,379.78,365.27,369.84,74346.01,27728088.91,372.18,direct,,2016-02-01,0.400787172,0.0,393.5957142857143,36.93538640406947,-381811.0099999997
32,1454371200,376.63,371.4,372.18,50981.07,19123252.48,373.92,direct,,2016-02-02,0.333548737,0.0,390.20904761904757,37.988464281581,-330829.9399999997
33,1454457600,375.89,366.2,373.92,59813.05,22266682.14,368.02,direct,,2016-02-03,0.316626077,0.0,387.15380952380957,35.80519056482437,-390642.9899999997
34,1454544000,391.83,368.05,368.02,101868.7,38961905.49,390.65,direct,,2016-02-04,0.35649067,0.0,385.32142857142856,48.121052961139206,-288774.2899999997
35,1454630400,391.15,384.48,390.65,60917.35,23688228.07,386.46,direct,,2016-02-05,0.274736475,0.0,385.997619047619,46.34804578393488,-349691.63999999966
36,1454716800,386.35,372.87,386.46,78850.1,29801286.8,376.68,direct,,2016-02-06,0.25161848,0.0,385.5995238095238,42.419345895875445,-428541.73999999964
37,1454803200,382.61,375.28,376.68,40743.17,15395728.35,377.94,direct,,2016-02-07,0.233750225,0.0,385.3838095238095,43.08866401446777,-387798.56999999966
38,1454889600,380.92,372.1,377.94,62236.23,23424062.52,372.63,direct,,2016-02-08,0.274162916,0.0,384.8233333333333,40.92942702304224,-450034.79999999964
39,1454976000,377.59,371.42,372.63,55358.89,20801701.37,375.32,direct,,2016-02-09,0.292884261,0.0,384.62619047619046,42.50137153128691,-394675.9099999996
40,1455062400,385.38,374.09,375.32,97487.81,37137791.06,381.88,direct,,2016-02-10,0.33272934,0.0,383.06904761904764,46.25733588094961,-297188.0999999996
41,1455148800,383.23,372.75,381.88,62653.08,23858467.37,379.45,direct,,2016-02-11,0.305905549,0.0,381.60285714285715,45.08254776374384,-359841.17999999964
42,1455235200,386.4,379.32,379.45,53759.93,20685663.27,384.04,direct,,2016-02-12,0.337655496,0.0,381.6690476190476,47.78031379208209,-306081.24999999965
43,1455321600,392.57,383.31,384.04,48158.05,18757146.48,390.1,direct,,2016-02-13,0.321088442,0.0,381.74,51.18950774969548,-257923.19999999966
44,1455408000,405.93,390.06,390.1,73589.64,29442484.67,405.5,direct,,2016-02-14,0.347876653,0.0,381.9004761904762,58.58848007589306,-184333.55999999965
45,1455494400,410.85,396.56,405.5,86127.28,34862753.81,401.07,direct,,2016-02-15,0.238399821,0.0,382.2961904761904,55.96058425473996,-270460.8399999996
46,1455580800,409.75,398.0,401.07,68330.32,27726590.05,406.42,direct,,2016-02-16,0.359703313,0.0,383.0885714285714,58.388026813717765,-202130.5199999996
47,1455667200,421.45,405.05,406.42,90323.21,37559686.21,417.14,direct,,2016-02-17,0.363600772,0.0,384.14190476190475,62.81130304246101,-111807.3099999996
48,1455753600,425.51,414.78,417.14,77346.22,32541108.12,421.4,direct,,2016-02-18,0.178560755,0.0,386.1280952380952,64.42944240190899,-34461.0899999996
49,1455840000,424.26,416.36,421.4,52240.27,21991480.98,419.98,direct,,2016-02-19,0.331605431,0.0,388.01809523809527,63.43856092154177,-86701.35999999961
50,1455926400,442.66,419.49,419.98,111626.76,48500793.67,440.06,direct,,2016-02-20,0.35680861,0.0,390.9847619047619,70.37654236500188,24925.400000000387
51,1456012800,447.61,425.47,440.06,100499.03,44120520.96,437.87,direct,,2016-02-21,0.373594711,0.0,394.22428571428566,68.84217440415145,-75573.62999999961
52,1456099200,440.18,431.3,437.87,56010.22,24563748.2,437.79,direct,,2016-02-22,0.322268767,0.0,397.3485714285714,68.7831795137968,-131583.84999999963
53,1456185600,440.76,414.36,437.79,93717.62,39915706.29,419.9,direct,,2016-02-23,0.37446589,0.0,399.5380952380953,57.01624204639879,-225301.46999999962
54,1456272000,425.17,410.36,419.9,66506.84,28041199.85,422.72,direct,,2016-02-24,0.336795609,0.0,402.14285714285717,58.229286029227275,-158794.62999999963
55,1456358400,427.18,417.51,422.72,53541.45,22692099.41,423.48,direct,,2016-02-25,0.355971755,0.0,403.7061904761905,58.56863813014655,-105253.17999999963
56,1456444800,427.58,419.11,423.48,53212.34,22642013.92,427.32,direct,,2016-02-26,0.396386827,0.0,405.6519047619048,60.3226155368253,-52040.83999999963
57,1456531200,434.14,427.3,427.32,42792.33,18543436.43,431.3,direct,,2016-02-27,0.397207734,0.0,408.2528571428571,62.112902513161345,-9248.509999999631
58,1456617600,435.62,421.22,431.3,50847.07,21876091.34,432.47,direct,,2016-02-28,0.395042545,0.0,410.8495238095238,62.64648136422998,41598.56000000037
59,1456704000,441.32,429.83,432.47,68773.52,30077319.62,436.21,direct,,2016-02-29,0.346019496,0.0,413.87714285714287,64.37370417795114,110372.08000000037
60,1456790400,439.02,428.49,436.21,67461.59,29312670.84,434.04,direct,,2016-03-01,0.246548267,0.0,416.6733333333334,62.56599720289997,42910.49000000037
61,1456876800,435.91,423.85,434.04,57744.55,24894311.79,425.36,direct,,2016-03-02,0.35675243,0.0,418.7438095238095,55.81434529664266,-14834.059999999634
